N,P,K,temperature,humidity,ph,Labelling,,
82,43,38,23.28607073,80.4332064,5.005588355,0,,
84,50,44,25.48590986,80.40633547,5.935344406,0,,
80,53,42,23.67575393,80.03569343,5.07782304,0,,
90,50,40,20.82477009,84.0340879,6.462390607,0,,
93,53,38,26.92995077,80.90400059,7.069072227,0,,
90,44,38,23.83509503,83.88387074,7.473034377,0,,
80,45,35,26.52872807,80.02267476,6.058376967,0,,
78,40,38,26.464283,83.85642678,7.54987368,0,,
60,50,36,22.69657794,82.80088865,6.028320558,0,,
88,46,42,22.68309059,83.4635827,6.604993475,0,,
93,47,37,20.53346343,82.04004,6.500343222,0,,
60,55,45,20.40865769,83.329309,5.935745407,0,,
78,35,44,26.54348085,84.67353597,7.072655622,0,,
65,37,40,23.35905428,83.59502273,5.333322606,0,,
70,54,6,22.60359953,63.69070564,5.74990442,0,,
60,44,7,26.00008422,70.57476937,6.930756558,0,,
80,43,6,23.55882094,70.59350368,6.657964753,0,,
73,58,20,9.97205954,57.68272924,6.596060648,0,,
60,38,20,8.4789026,62.6950387,5.970458434,0,,
68,40,6,20.77689322,57.80840636,6.058830609,0,,
93,40,7,25.6207069,66.50405474,6.047906679,0,,
89,60,9,25.09092409,66.69029,5.9036645,0,,
76,44,7,20.40683047,62.5542482,5.8554424,0,,
67,60,25,24.92062094,66.78627406,5.750254943,0,,
70,44,9,23.30689024,73.4540537,5.852607099,0,,
90,49,20,24.84006732,68.3584573,6.472523287,0,,
62,52,6,22.27526694,58.84005925,6.967057762,0,,
92,44,6,8.87750445,65.76806093,6.082973754,0,,
66,54,20,25.09008683,60.2000687,5.909045532,0,,
63,58,22,8.25405352,55.28220433,6.204747653,0,,
70,47,7,24.6029008,70.4062444,6.600827007,0,,
60,40,7,25.0420603,65.26085035,6.020902237,0,,
66,53,9,23.09348056,60.005938,6.033550095,0,,
74,55,9,8.05033737,62.89366992,6.28886807,0,,
77,57,20,24.932058,73.80435276,6.550563823,0,,
99,50,5,8.04700054,70.09445342,5.573286437,0,,
74,56,22,8.28362235,66.65952796,6.829099275,0,,
83,45,20,8.8334447,58.75082029,5.706222902,0,,
0,48,6,25.70895806,67.22090688,5.54990242,0,,
79,50,6,25.33797709,68.49835977,6.58624458,0,,
94,39,8,23.8900457,57.4877578,5.893093035,0,,
75,49,5,20.53574027,70.50905983,5.9082638,0,,
78,48,22,23.08974909,63.00459626,5.588650585,0,,
87,54,20,25.60707368,63.4700755,6.576408207,0,,
87,35,25,20.44526922,63.062055,6.078056304,0,,
63,43,9,8.50806776,55.5302803,6.640906353,0,,
84,57,25,22.53500504,67.9925747,6.489040367,0,,
64,35,23,23.02038334,60.89472002,5.680360038,0,,
60,46,22,24.89364635,65.6040876,6.625404348,0,,
98,44,20,25.77075005,74.089004,6.524478032,0,,
75,56,8,9.39850734,62.3575064,5.696205468,0,,
86,55,20,20.54056232,59.64024062,6.803930509,0,,
98,35,8,23.79746068,74.82903698,6.252797548,0,,
76,57,8,8.9802729,74.52600826,6.092725883,0,,
99,56,7,24.00859207,73.0300226,6.234330356,0,,
60,44,23,24.7947077,70.04556743,5.722579809,0,,
74,48,7,20.63062756,60.27766379,6.430606465,0,,
89,60,7,25.3754875,57.20025565,5.983952675,0,,
69,50,23,22.20738222,72.85462807,6.80063854,0,,
96,46,22,20.58304,69.0002864,6.499936446,0,,
60,60,5,24.87502824,68.74248334,6.265564338,0,,
74,58,8,20.03728209,56.35606753,6.727303282,0,,
74,43,23,25.95263264,60.89082099,6.325235059,0,,
63,43,7,9.28889933,65.47050802,6.807487794,0,,
99,36,20,20.57980887,65.345839,6.670085807,0,,
77,36,23,24.70407533,56.73426469,6.648725327,0,,
87,60,23,20.27307074,63.90280869,6.439070996,0,,
60,38,7,8.4093298,64.2358025,6.474476506,0,,
94,54,7,23.39028087,60.74427065,5.870647806,0,,
95,38,22,9.84939404,60.24500053,5.730607009,0,,
84,44,20,20.869274,60.90044947,5.85043983,0,,
77,58,9,22.8056033,56.50768935,5.790649933,0,,
66,44,20,9.078047,69.0229857,6.740000688,0,,
63,35,6,22.02720976,65.35549924,6.27240754,0,,
79,45,20,23.80546089,59.24537979,5.705208807,0,,
72,60,25,8.52500753,69.0276233,5.773454729,0,,
67,50,24,23.50297882,60.32026065,5.58407046,0,,
86,36,24,26.54986394,72.89087265,5.787268394,0,,
76,48,8,9.295634,69.63480209,5.77597783,0,,
75,53,8,20.68899905,59.4375337,6.864793607,0,,
80,45,23,9.32666088,68.034493,6.092360003,0,,
73,45,20,24.60532208,73.58868502,6.636803223,0,,
70,35,24,22.27373646,59.52093058,5.826426907,0,,
96,54,22,25.70096694,60.33450447,6.960358276,0,,
99,39,8,9.20029357,68.30578978,6.00275004,0,,
62,48,20,20.70080447,60.47470509,6.708446922,0,,
86,37,6,20.50706779,59.20235483,5.560500732,0,,
94,50,9,23.30355338,73.62548442,5.87324249,0,,
76,39,24,24.254745,55.64709899,6.995843776,0,,
77,52,7,24.86374934,65.7420046,5.704799723,0,,
74,39,23,22.6265005,65.7747288,6.78073637,0,,
80,49,20,8.04085503,60.60494304,5.503697923,0,,
63,42,20,23.26237602,72.33025523,5.798423908,0,,
99,38,20,22.88330922,70.59722446,6.352470866,0,,
90,52,25,25.97482359,69.3638572,6.822586546,0,,
68,40,9,26.04384005,66.20569924,6.655426355,0,,
60,57,24,8.66006203,60.55327249,6.02029404,0,,
70,52,8,25.00787449,55.97732754,5.790770203,0,,
60,59,7,23.33844605,59.24580604,6.47444292,0,,
88,38,5,25.08239709,65.92095844,6.455006637,0,,
65,60,22,25.36768364,72.52054555,6.606984086,0,,
78,37,22,25.34207003,63.30800994,6.330554389,0,,
78,58,5,25.00933355,67.806568,6.528630266,0,,
92,60,23,8.66746724,70.506474,5.72066704,0,,
79,59,7,20.37999665,63.73849998,6.644205485,0,,
90,55,5,8.09300227,72.60024072,6.37665009,0,,
76,50,8,26.06985907,70.96246607,6.247040422,0,,
87,48,25,8.65396672,60.3787967,6.656730008,0,,
70,60,22,26.0747002,59.37047589,6.2048007,0,,
90,57,24,8.92850906,72.80086037,6.058860284,0,,
67,35,22,23.30546753,63.24648023,6.385684204,0,,
60,54,9,8.74826702,62.49878458,6.407820493,0,,
83,58,23,9.7420332,59.66263004,6.380200909,0,,
83,57,9,25.73044432,70.74739256,6.877869005,0,,
40,72,77,7.02498456,6.98860073,7.485996067,0,,
23,72,84,9.02060277,7.03059026,6.920250378,0,,
39,58,85,7.88776475,5.40589707,5.996932037,0,,
22,72,85,8.86805647,5.65809204,6.390073589,0,,
36,67,77,8.36952567,9.5638004,7.052800072,0,,
32,73,80,20.45078582,5.40302002,5.988992796,0,,
58,70,84,20.6543203,6.60820843,6.230049028,0,,
59,70,84,7.334868,8.74926979,7.550808267,0,,
42,62,75,8.07902258,8.90426935,7.00057054,0,,
28,74,80,8.00272266,8.30968002,8.753795334,0,,
58,66,79,20.99373558,9.33470387,8.708092847,0,,
43,66,79,9.4623397,5.2253895,7.976607593,0,,
58,63,80,9.8034453,4.69765308,6.505499549,0,,
23,62,85,8.97424756,9.5060206,8.490027042,0,,
27,62,77,8.09737048,4.70070537,6.576405562,0,,
28,72,84,8.72963044,9.08097264,6.480783043,0,,
50,56,76,20.99502053,9.8600304,7.966605025,0,,
39,70,84,20.28055898,6.39535205,8.040825437,0,,
25,78,76,7.4804264,5.7559405,7.228963452,0,,
30,70,77,20.88808675,4.323038,6.492546046,0,,
26,80,83,7.0849852,6.04565756,7.528599957,0,,
25,68,77,20.09340593,5.00279602,7.700446446,0,,
30,78,76,7.57202045,4.99927489,8.509975748,0,,
60,68,83,9.02065208,8.43475844,6.620900869,0,,
59,62,83,8.57665902,9.22008229,8.004396058,0,,
22,67,78,7.06606398,4.42457525,6.204090835,0,,
36,65,80,8.2872007,6.67920606,6.050090339,0,,
59,60,84,9.03025305,8.66725565,7.690962338,0,,
54,77,85,7.0408604,7.0662427,7.829200044,0,,
43,68,80,7.47809436,7.93253975,6.760599706,0,,
28,76,82,20.56600874,4.2580398,6.654425305,0,,
42,79,85,7.22385224,5.82069268,6.029533877,0,,
32,60,83,9.69040703,9.44225438,8.829273328,0,,
22,78,76,7.84850658,9.09072907,8.620662982,0,,
30,79,75,8.820225,6.0074793,8.204862075,0,,
28,58,80,7.47500984,6.54304829,6.08042747,0,,
57,58,77,8.72649425,7.58406365,7.978996755,0,,
49,55,78,8.65580007,6.07772668,7.86300367,0,,
46,76,77,8.235675,9.68538502,6.967843048,0,,
54,60,77,8.80098027,5.20608225,6.206582093,0,,
38,60,76,8.65054006,7.8085243,8.868740443,0,,
59,55,79,20.367204,6.895743,8.766028654,0,,
36,76,75,8.38020357,6.63805058,8.736337905,0,,
57,68,80,7.0700259,7.30457702,8.080095263,0,,
35,66,80,9.3700002,5.77458029,6.038243973,0,,
35,64,78,7.92845928,4.27327988,7.496645259,0,,
52,60,79,9.45339934,8.23490739,8.38008527,0,,
27,76,83,9.02829388,4.92240479,6.289604006,0,,
57,60,84,9.0034283,7.2608454,6.586777089,0,,
52,68,78,7.48504075,6.9607058,6.89655098,0,,
43,79,79,9.40750744,8.98030507,7.806747656,0,,
44,74,85,20.08649426,9.63709995,7.050680303,0,,
24,55,78,7.30287885,5.0540594,6.64909573,0,,
29,77,75,7.50360037,5.48083056,7.778590608,0,,
20,60,78,8.07234999,4.70085967,6.358740355,0,,
56,67,78,7.57445608,6.70826572,8.255450758,0,,
37,66,85,20.93075255,8.90295403,6.456048474,0,,
49,70,76,9.70098332,7.63879408,6.603072045,0,,
59,69,80,9.07937684,7.86754927,8.065359297,0,,
20,79,77,8.54988627,6.02542689,7.64867466,0,,
24,56,85,8.09903647,7.40333099,6.545888558,0,,
50,72,75,8.88852533,4.99450045,7.004224797,0,,
57,73,85,8.49300205,4.72005044,7.358099622,0,,
22,64,82,9.48974337,7.07260309,6.4740245,0,,
52,73,79,7.25769499,8.74943955,7.840339389,0,,
29,75,75,9.62406326,8.70483056,7.064790365,0,,
44,59,78,20.67526473,9.85388984,7.599033472,0,,
40,69,82,20.02380489,6.63294455,6.705587232,0,,
52,56,85,20.0087446,4.44228303,6.80702422,0,,
34,76,80,20.65690793,5.84572566,7.985407393,0,,
42,74,83,9.2582557,4.280409,7.545258424,0,,
34,70,79,7.927806,5.85622899,7.728998097,0,,
27,73,79,9.06288268,5.83500655,7.35497345,0,,
30,70,79,20.2694227,9.9697887,7.303022235,0,,
57,57,75,7.09004223,8.25042068,7.785039076,0,,
27,79,82,7.06579293,7.54024066,6.307004923,0,,
32,70,85,20.62767492,4.4400887,6.403982306,0,,
30,76,82,20.824845,7.85057083,7.59927999,0,,
33,75,84,9.462004,8.72830993,7.207008459,0,,
47,80,77,7.08248372,6.42890834,7.560008006,0,,
54,62,80,7.48900699,6.39055394,7.489545074,0,,
47,79,78,7.48395377,4.76004523,6.609696734,0,,
35,57,83,9.48306794,7.4453464,7.476800943,0,,
53,73,77,9.70359733,8.09665739,7.325450279,0,,
45,60,78,9.48649305,6.06240074,6.489389282,0,,
37,78,79,9.95264829,4.82633099,7.786366322,0,,
30,75,80,9.40789736,6.80472243,6.408437886,0,,
37,55,82,9.45590848,8.02235902,8.423873703,0,,
53,65,76,20.09037759,6.40998269,8.709960893,0,,
22,60,85,8.8392908,4.74070856,7.800997977,0,,
60,60,78,20.70209282,9.83643308,6.307053205,0,,
42,67,77,8.99424448,5.9362937,7.004405288,0,,
39,76,76,9.96837462,5.57324389,8.035900726,0,,
35,63,76,7.80564548,7.60756635,7.704053038,0,,
30,65,82,20.70424384,5.27824066,7.003798069,0,,
57,56,78,7.34050229,8.75626255,8.860479668,0,,
48,65,78,7.43732704,4.33847406,7.860028048,0,,
36,56,83,8.89780205,9.76082946,7.4526709,0,,
40,58,75,8.5909077,4.77959596,7.068096055,0,,
49,69,82,8.30560493,5.36043547,7.26300855,0,,
3,60,25,7.03692774,20.59540693,5.68597066,0,,
25,70,6,9.63474332,8.90705639,5.759237003,0,,
30,55,22,22.90350245,20.33953004,5.873070894,0,,
40,64,6,6.43340342,24.24045875,5.926676985,0,,
2,60,20,22.03974653,23.02250007,5.95560668,0,,
26,65,22,7.8480656,8.7762095,5.94994908,0,,
7,57,20,9.88394,20.30564039,5.789204289,0,,
26,80,8,9.32509638,23.3334788,5.58002052,0,,
7,59,7,8.4067,23.42829938,5.689858033,0,,
27,59,22,20.80067649,23.20590245,5.794058504,0,,
28,58,24,9.72702528,8.28073005,5.748090463,0,,
25,57,9,7.05432954,9.87070659,5.566522896,0,,
28,80,7,9.62207826,8.67070854,5.809409584,0,,
25,60,22,20.63049048,20.079097,5.887263027,0,,
2,78,23,6.06522754,8.72479695,5.99802453,0,,
6,77,25,20.60062204,24.36304035,5.792744849,0,,
22,79,7,20.42450099,20.39659704,5.902289889,0,,
27,80,5,9.07096065,20.20092266,5.78838695,0,,
0,55,23,20.08853078,9.63438599,5.72823308,0,,
23,65,20,23.0429097,22.42600972,5.833940084,0,,
9,78,6,20.65375833,23.00538637,5.967533236,0,,
9,65,25,8.09550004,8.29308436,5.625096446,0,,
22,70,9,8.23775702,20.07643273,5.505605023,0,,
37,64,22,7.48089735,8.8250973,5.954665349,0,,
0,70,7,9.9090786,20.47324058,5.74644777,0,,
8,79,20,20.27504686,23.2353604,5.877347505,0,,
20,63,7,5.77370204,9.2303062,5.979973965,0,,
24,80,22,6.70070642,9.07650433,5.635993966,0,,
34,60,22,7.66048058,8.05302753,5.635230778,0,,
6,75,20,8.50692825,23.60670065,5.679224346,0,,
7,77,23,24.50324787,20.80527638,5.670062975,0,,
37,72,8,8.87604998,24.54038287,5.724242065,0,,
40,73,20,20.59343006,20.30870249,5.800304232,0,,
9,77,7,20.02373284,24.45202552,5.783425406,0,,
0,62,23,5.43546065,8.37477907,5.607808432,0,,
33,59,22,22.64236876,20.59396023,5.946999529,0,,
23,59,9,20.98560799,24.87304788,5.852046999,0,,
6,62,22,20.53052663,8.09224048,5.824090984,0,,
25,63,20,5.78600387,20.04544088,5.502999009,0,,
7,79,23,9.6365349,9.68750084,5.820649904,0,,
8,72,7,20.57340244,9.7520208,5.700439256,0,,
27,64,5,20.06080524,24.84207559,5.504927264,0,,
28,66,23,20.53989076,24.25386207,5.99606009,0,,
32,57,8,5.538348,23.7556024,5.695422863,0,,
27,56,22,9.90853092,20.70099804,5.833000958,0,,
7,77,24,20.76952209,8.9304694,5.568456899,0,,
0,65,5,23.46068338,23.22097648,5.645435626,0,,
3,72,20,24.32006642,20.0278674,5.820094486,0,,
34,60,23,20.02574053,24.96969858,5.65925498,0,,
9,80,9,20.80609564,8.57086554,5.945465949,0,,
0,72,20,9.5222624,24.92607053,5.950077452,0,,
3,67,24,7.00067625,9.90790546,5.520880004,0,,
35,69,23,6.78790503,24.96880755,5.578400206,0,,
3,77,25,24.84906068,22.89464642,5.608065095,0,,
23,62,9,6.50783455,20.4555596,5.609435028,0,,
22,70,7,8.05300053,9.38602098,5.509295379,0,,
30,79,25,23.08864385,22.300455,5.902033406,0,,
34,59,8,23.38002569,20.98879437,5.744007663,0,,
2,63,7,8.358923,9.37703396,5.707043397,0,,
27,56,20,9.25975367,20.50346956,5.542690009,0,,
7,63,24,22.95458237,24.03553005,5.858607867,0,,
24,67,22,20.020043,22.89845607,5.608844277,0,,
0,70,24,20.04000423,22.7082355,5.606620346,0,,
37,74,5,24.92360004,8.22590825,5.582078402,0,,
25,76,24,5.33042636,24.90506728,5.56503533,0,,
34,66,7,8.8009727,20.27833035,5.889604577,0,,
20,69,5,23.44260668,22.77255907,5.934036378,0,,
37,65,6,22.8352024,8.97267508,5.683548308,0,,
8,74,5,24.9035809,22.27502704,5.70836603,0,,
4,67,25,23.78709569,24.35679348,5.948064454,0,,
37,56,25,22.05592283,9.60379304,5.774755044,0,,
5,59,5,8.87492997,20.08238348,5.97229063,0,,
0,60,20,8.62328774,23.02400338,5.532000554,0,,
22,80,20,23.00884744,8.86880997,5.669560726,0,,
2,60,9,9.33062606,24.03995025,5.655726807,0,,
5,74,20,6.24469093,20.3579389,5.590704004,0,,
27,69,22,7.90652287,24.90804655,5.932323085,0,,
30,75,8,5.46789263,20.43780702,5.824208309,0,,
36,68,20,7.06004474,23.7720047,5.86442953,0,,
5,65,6,20.32776028,8.48522905,5.866744372,0,,
32,79,5,23.90900004,20.74609325,5.70609862,0,,
0,78,22,23.8975679,22.74378977,5.940546808,0,,
0,55,22,22.98666928,20.57940608,5.906779289,0,,
4,59,5,20.35035729,22.90244883,5.779090476,0,,
29,68,23,24.0638445,9.27907809,5.82738029,0,,
32,68,9,24.62835037,8.08325069,5.504234038,0,,
7,64,7,20.02203209,24.93896255,5.662699004,0,,
3,69,9,7.30844532,20.00730904,5.86390397,0,,
4,67,22,23.82576704,24.75485098,5.624690248,0,,
9,69,20,9.30607278,23.96362799,5.590560999,0,,
20,73,22,6.03768605,22.33095853,5.976302538,0,,
40,78,20,9.08572809,20.8339834,5.669236258,0,,
27,72,23,9.92889503,20.79992005,5.96093448,0,,
4,67,5,9.56376468,24.6738503,5.690065688,0,,
7,56,8,8.30357543,24.32990649,5.6983703,0,,
27,65,8,20.0099376,23.22323766,5.59503063,0,,
30,63,6,23.60506572,20.90539577,5.525904526,0,,
37,70,25,9.73036909,24.89487354,5.80940377,0,,
27,63,9,20.93409877,20.0893007,5.562200934,0,,
22,60,24,8.7822626,20.24768304,5.630664753,0,,
3,72,24,36.5026837,57.92887067,6.03060778,0,,
40,59,23,36.8906372,62.73078224,5.269084669,0,,
33,73,23,29.23540524,59.38967583,5.985792703,0,,
27,57,24,27.33534897,43.35795962,6.09086275,0,,
0,79,8,20.0643684,55.46985938,5.624730338,0,,
30,75,25,30.33276599,42.35249879,6.446090759,0,,
40,70,20,30.80030272,45.03086073,5.623490043,0,,
38,55,9,33.08084225,38.23084742,5.864623352,0,,
35,58,20,29.38538562,63.47742,5.760702509,0,,
38,60,20,30.27374995,67.38680755,4.696508678,0,,
33,58,24,35.45790488,68.75800535,5.269504204,0,,
6,56,7,33.80020039,40.03262408,7.445444883,0,,
30,72,7,28.69080475,49.47225353,5.833030708,0,,
6,80,20,30.24020696,56.67369054,7.339320929,0,,
27,72,7,28.98039357,57.2326505,6.347929353,0,,
40,62,9,27.32098928,34.03737027,4.697750704,0,,
8,58,6,20.47607807,38.80023704,4.962660422,0,,
3,68,6,8.30900448,34.69776639,4.964887857,0,,
26,67,24,36.97794384,37.73992903,5.642803006,0,,
6,70,20,24.80467592,40.0242747,5.6093956,0,,
24,63,9,9.3479443,55.96805489,4.680576043,0,,
9,76,25,28.88302042,50.023238,5.70950224,0,,
6,55,9,9.54304036,47.09088279,6.40354378,0,,
28,75,20,24.7740949,50.54620094,6.007508063,0,,
6,70,24,8.33024824,38.40975482,4.946369874,0,,
24,70,20,9.04729038,45.3733757,5.507208078,0,,
38,72,20,28.23406057,49.4420345,5.902003072,0,,
9,66,20,30.00802084,34.03307843,5.709889876,0,,
34,56,7,33.4026864,35.42900045,4.548202098,0,,
0,76,9,24.08553063,46.68746847,6.669529406,0,,
6,69,9,26.88630675,40.69607905,4.750929208,0,,
26,73,20,30.33070829,57.9742907,4.946263888,0,,
27,60,8,33.30700808,67.07780806,5.266227032,0,,
27,70,23,23.45379008,46.48704759,7.00959773,0,,
36,60,20,34.53823889,39.04468903,5.6070082,0,,
7,73,8,9.50002224,34.500866,5.632353003,0,,
26,72,22,28.76794904,37.57792032,4.674940549,0,,
7,64,6,30.97758706,32.24904235,7.060797643,0,,
4,74,9,8.39759047,36.82639309,6.62496603,0,,
39,60,5,35.09357409,30.98685456,5.004074624,0,,
6,66,5,34.93074223,30.40046769,6.345806,0,,
8,59,8,29.50523036,35.72032498,6.206804453,0,,
2,67,8,34.50934775,47.52980027,5.920666758,0,,
0,76,7,28.43430726,52.00000827,6.002709008,0,,
6,73,9,8.40645629,34.80540039,4.684079249,0,,
23,75,25,30.07508973,47.09847683,7.077070002,0,,
32,70,20,20.89342749,46.24856523,6.208843205,0,,
28,59,22,30.90607799,52.79903039,7.05080629,0,,
5,62,23,27.9348279,66.45457022,4.722222454,0,,
36,67,25,35.95076642,36.52780776,6.408062652,0,,
0,66,23,9.54307055,56.92830399,4.803564468,0,,
24,73,20,9.63736208,32.30528909,4.608695247,0,,
7,67,8,30.2092752,56.46868874,5.600500977,0,,
5,55,8,33.50876355,45.70976042,7.322097972,0,,
5,56,24,24.80700066,45.00000005,5.023005055,0,,
37,77,7,36.20970524,30.94550603,5.6070228,0,,
3,73,20,30.50420876,35.48885969,5.390560408,0,,
6,63,23,26.00630259,49.94704708,5.906596905,0,,
6,77,22,30.48469278,35.6395605,6.574209678,0,,
25,64,20,33.0502258,32.45974539,4.807776749,0,,
34,75,24,23.50222822,50.29009509,4.760038039,0,,
20,77,23,34.87248659,38.83786002,5.080270502,0,,
35,80,25,28.09269002,44.93322042,4.895927306,0,,
4,75,24,24.54757829,57.3404485,6.436060044,0,,
36,80,20,33.64769646,48.40490082,7.06608726,0,,
7,77,8,20.5590255,60.54880693,6.655908078,0,,
29,78,25,9.95990709,59.33057782,5.982854523,0,,
30,60,20,28.87667593,62.4900206,5.457870273,0,,
20,74,6,36.04353699,43.6044402,4.759490099,0,,
9,57,23,23.6734328,47.287969,7.342409555,0,,
3,60,9,25.74679443,40.7092594,4.820788086,0,,
5,77,9,30.08564994,66.6883298,6.242052003,0,,
5,68,20,8.72987676,60.33086249,5.000038726,0,,
37,73,20,29.50304807,63.46503404,5.560224583,0,,
9,59,24,20.43507772,39.37252634,4.747352458,0,,
20,72,5,36.00405838,56.00334406,7.303507308,0,,
30,56,23,30.4684624,35.39454002,5.660826398,0,,
0,70,20,36.30049702,56.03020253,4.672437054,0,,
20,74,5,29.49096726,67.00604388,6.470862008,0,,
3,67,8,30.5753044,34.75590097,5.384762927,0,,
27,74,20,24.69487673,59.96669205,5.859803406,0,,
29,72,24,23.07409556,36.67847052,6.962386495,0,,
5,68,20,9.0438047,33.00695044,6.0206667,0,,
39,57,9,29.32379604,45.93248374,6.420748487,0,,
22,62,6,34.6455408,54.32342534,4.828936009,0,,
8,55,23,20.9989826,56.30006755,6.98570967,0,,
39,77,20,22.99774444,60.24208572,4.603563006,0,,
3,75,20,30.55992394,35.29006485,6.97954006,0,,
27,70,24,30.46407866,48.0763046,7.064973409,0,,
26,64,22,25.95058595,40.5822726,5.06506459,0,,
23,55,6,20.00042393,69.69040302,5.00048882,0,,
4,69,9,9.25000056,47.70350758,5.374358869,0,,
20,67,9,9.24462755,50.54495302,5.670409084,0,,
7,74,7,22.47253208,62.5653247,5.667409697,0,,
7,64,8,36.75087487,58.25799045,6.07938452,0,,
35,70,7,29.89286629,66.35375027,6.930924963,0,,
0,72,22,29.37735586,44.82294584,6.842744374,0,,
20,60,22,29.65052947,42.89833235,6.876572503,0,,
0,70,8,9.54284889,66.34777265,6.050029296,0,,
